id,title,type,description,image,embed,tags,component
1,"VoteReady: Digital Checklist for Canadian Voters",interactive,"An engaging game designed to educate Canadians about voting procedures, eligibility, and the importance of civic participation.","thumbnails/gaming.jpg","https://voting-app-frontend-wheat.vercel.app/begin-journey","gamified-learning|voter-preparedness|civic-education",VoteGame
6,"Ask Eager Beaver",interactive,"A civic engagement tool on YouCount.ca that allows Canadians to ask and upvote questions about government, democracy, and representation — bridging citizens and policymakers.","thumbnails/askbeaver.jpg",,"public-engagement|civic-literacy|digital-dialogue",AskBeaver
7,"VoteMatch",interactive,"An interactive quiz that helps Canadians discover which party platforms align most closely with their values and priorities.","thumbnails/votematch.jpg","/projects/votematch.html","machine-learning|political-alignment|interactive-data",VoteMatch
21,"CivicEngage Mobile App",interactive,"An innovative civic technology project by Chloe Sepulveda that integrates a live candidate dashboard and an iOS app designed to make political information more engaging and accessible. The platform combines personalized quizzes, live civic updates, and gamified learning tools to enhance democratic participation and awareness among Canadians.","thumbnails/chloe.jpg",,"events|archive|elections",ChloeApp
2,"Canadians and Civic Issues: An Analysis of 2021 Canadian Election Study Data",report,"A data-driven exploration of civic participation, political trust, and voting behavior in Canada based on the 2021 Canadian Election Study.","thumbnails/cdem2021.jpg","/projects/canadians-civic-issues.pdf","civic-insight|data-science|democracy-research",CivicIssuesReport
3,"E-Journal Data",data,"An interactive mix of PDFs and embedded dashboards offering analytical insights across Canadian electoral and civic engagement datasets.","thumbnails/ejournal.jpg","https://glocalfoundation.ca/e-journal-data","open-data|visual-analytics|knowledge-integration",EJournal
4,"Understanding Local Governance in Canada",report,"Detailed examination of unique characteristics of local governance models within each province and territory in Canada.","thumbnails/governance.jpg","/projects/governance.html","governance-systems|policy-mapping|institutional-analysis",LocalGovernance
5,"Election Data Explorer",data,"A dataset and dashboard hybrid that visualizes electoral data, voter turnout, and regional voting trends across Canada.","thumbnails/data-explorer.jpg","/projects/election-data-explorer.html","data-visualization|election-trends|civic-analytics",ElectionsData
8,"Elections Contributions and Outcomes",report,"An analysis of campaign donation data in Canadian elections by Carmen Y through the Canada Summer Jobs program, exploring links between fundraising and results.","thumbnails/contributions.jpg",,"campaign-finance|data-analysis|evidence-based-policy",ElectionContributions
9,"Canadian Federal Election Results Visualization",data,"A visual exploration of Canadian federal election results, highlighting seat distributions, turnout rates, and historical changes.","thumbnails/federal-results.jpg","https://glocalfoundation.ca/educational-resources","historical-trends|data-storytelling|visual-history",FederalResults
10,"2025 Federal Elections Candidates Database",data,"A comprehensive database of candidates running in the 2025 Canadian federal elections, including profiles, party affiliations, and electoral districts.","thumbnails/candidates-data.jpg","https://www.youcount.ca/elections/ng/fed-2025","representative-data|open-governance|civic-infrastructure",CandidatesData
11,"2025 Post-Election Analysis",report,"An analytical report examining the outcomes of the 2025 Canadian federal elections, voter turnout, and implications for future political trends.","thumbnails/post-election.jpg","https://glocalfoundation.ca/educational-resources","post-election|insight-report|democracy-forecasting",PostElection
12,"Overseas Canadians Voting e-Toolkit",report,"Comprehensive toolkit designed to assist Canadians living abroad with voting procedures. Includes step-by-step instructions, timelines, and downloadable resources.","thumbnails/overseas.jpg","/projects/overseas-canadians-voting.pdf","digital-democracy|voter-access|civic-tech",OverseasToolkit
13,"Understanding Federalism in Canada",report,"A comprehensive analysis of Canadian federalism, exploring the constitutional division of powers between federal and provincial governments.","thumbnails/federalism.jpg","https://glocalfoundation.ca/projects/federalism-division-of-powers.pdf","governance|federalism|policy-analysis",FederalismReport
14,"Canadians and Civic Issues: An Analysis of 2019 Canadian Election Study Data",report,"An analytical report examining civic engagement and political awareness among Canadians using C-DEM’s 2019 Canadian Election Study data.","thumbnails/cdem2019.jpg","https://glocalfoundation.ca/projects/cdem2019-canadians-and-civic-issues.pdf","data-analysis|political-engagement|democracy",CDEM2019Report
15,"Vancouver Regional Showcase",events,"An in-person civic engagement showcase held in Vancouver, featuring MPs, MPPs, researchers, and community leaders discussing electoral participation, youth engagement, and civic literacy in Western Canada.","thumbnails/events/vancouver.jpg",,"elections|regional|showcase",VancouverRegional
16,"Calgary Regional Showcase",events,"A live regional event in Calgary spotlighting civic dialogue between policymakers, academics, and youth. The showcase emphasized federal–provincial collaboration, representation, and accessible participation in democratic processes.","thumbnails/events/calgary-regional.jpg","thumbnails/events/calgary-meet.jpg","elections|regional|showcase",CalgaryRegional
17,"Winnipeg Regional Showcase",events,"An in-person showcase in Winnipeg convening MPs, MPPs, community advocates, and emerging scholars to discuss the evolution of Canada’s electoral landscape and civic education initiatives across the Prairies.","thumbnails/events/winnipeg-regional.jpg",,"elections|regional|showcase",
18,"Voices from Arctic Communities",events,"A virtual panel featuring Arctic community leaders discussing the unique challenges and opportunities for civic engagement and electoral participation in Northern Canada.","thumbnails/events/nunavut.jpg","thumbnails/events/arctic.jpg","elections|outreach|virtual-event",
19,"Education and Community in the North: Lessons from Fort Resolution",events,"A virtual discussion with Deninu School Principal Simone Degannes-Lange, exploring the intersection of education, culture, and electoral participation in Northern Indigenous communities.","thumbnails/events/deninu.jpg","thumbnails/events/fort-resolution-poster.jpg","elections|outreach|virtual-event",
20,"Understanding Economic Voting in Canadian Elections",events,"Dr. Cameron Anderson, Professor of Political Science at Western University, presents his research on economic voting behaviour in Canadian federal elections.","thumbnails/events/camand.jpg","thumbnails/events/cameron-anderson.jpg","elections|education|interactive",
22,"GLOCAL Virtual Events",events,"All of GLOCAL's upcoming and past events in one place, including regional showcases, virtual panels, and infographic poster series aimed at promoting civic engagement and electoral participation across Canada.","thumbnails/events/virtual-meeting.jpg",,"events|archive|elections",VirtualEvents
